TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.3433
  Final Val Loss:       0.3391
  Final Train IoU:      0.6598
  Final Val IoU:        0.6176
  Final Train Dice:     0.7865
  Final Val Dice:       0.7874
  Final Train Accuracy: 0.8783
  Final Val Accuracy:   0.8776
==================================================

Best Results:
  Best Val IoU:      0.6182 (Epoch 51)
  Best Val Dice:     0.7883 (Epoch 51)
  Best Val Accuracy: 0.8779 (Epoch 51)
  Lowest Val Loss:   0.3388 (Epoch 55)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.6374       0.4844       0.0000       0.4703       0.0000       0.6557       0.0000       0.8433      
2        0.4734       0.4331       0.0000       0.5260       0.0000       0.7113       0.0000       0.8573      
3        0.4357       0.4029       0.0000       0.5557       0.0000       0.7368       0.0000       0.8634      
4        0.4135       0.3926       0.0000       0.5649       0.0000       0.7454       0.0000       0.8645      
5        0.4040       0.3878       0.6135       0.5725       0.7476       0.7519       0.8639       0.8643      
6        0.3955       0.3791       0.6135       0.5773       0.7476       0.7551       0.8639       0.8683      
7        0.3888       0.3740       0.6135       0.5830       0.7476       0.7595       0.8639       0.8693      
8        0.3866       0.3749       0.6135       0.5833       0.7476       0.7605       0.8639       0.8691      
9        0.3848       0.3703       0.6135       0.5845       0.7476       0.7604       0.8639       0.8694      
10       0.3809       0.3665       0.6329       0.5912       0.7625       0.7664       0.8723       0.8722      
11       0.3758       0.3615       0.6329       0.5952       0.7625       0.7704       0.8723       0.8723      
12       0.3713       0.3624       0.6329       0.5943       0.7625       0.7685       0.8723       0.8729      
13       0.3699       0.3594       0.6329       0.5976       0.7625       0.7726       0.8723       0.8720      
14       0.3664       0.3558       0.6329       0.6010       0.7625       0.7749       0.8723       0.8736      
15       0.3653       0.3566       0.6411       0.6013       0.7707       0.7754       0.8733       0.8733      
16       0.3648       0.3559       0.6411       0.6011       0.7707       0.7755       0.8733       0.8720      
17       0.3673       0.3594       0.6411       0.5976       0.7707       0.7722       0.8733       0.8732      
18       0.3646       0.3562       0.6411       0.5997       0.7707       0.7741       0.8733       0.8726      
19       0.3618       0.3537       0.6411       0.6043       0.7707       0.7774       0.8733       0.8741      
20       0.3612       0.3542       0.6428       0.6027       0.7719       0.7758       0.8730       0.8729      
21       0.3589       0.3508       0.6428       0.6062       0.7719       0.7774       0.8730       0.8754      
22       0.3567       0.3489       0.6428       0.6088       0.7719       0.7816       0.8730       0.8743      
23       0.3543       0.3459       0.6428       0.6115       0.7719       0.7838       0.8730       0.8751      
24       0.3531       0.3460       0.6428       0.6114       0.7719       0.7831       0.8730       0.8767      
25       0.3517       0.3453       0.6514       0.6126       0.7788       0.7842       0.8768       0.8764      
26       0.3511       0.3444       0.6514       0.6120       0.7788       0.7834       0.8768       0.8758      
27       0.3505       0.3446       0.6514       0.6124       0.7788       0.7833       0.8768       0.8765      
28       0.3492       0.3437       0.6514       0.6129       0.7788       0.7838       0.8768       0.8766      
